Model,Algorithm,Accuracy,Precision,Recall,F1-Score,Train Time(s),Test Time(s)
"CNN (lr=0.001, ep=5)",CNN,0.7048,0.720526115139662,0.7048,0.7088330922331558,45.22310400009155,0.6035928726196289
"CNN (lr=0.001, ep=2)",CNN,0.6469,0.6617666485161697,0.6469,0.6448164691526007,19.217484951019287,0.6131141185760498
"CNN (lr=0.01, ep=5)",CNN,0.4233,0.4332527916840547,0.42330000000000007,0.42081514194243425,45.943065881729126,0.6322240829467773
RF (trees=10),RF,0.3592,0.3657499443656804,0.35919999999999996,0.3579501457550357,1.827883005142212,0.030068159103393555
RF (trees=50),RF,0.441,0.43700564751407944,0.441,0.43803244139570363,9.123998165130615,0.055040836334228516
RF (trees=100),RF,0.463,0.45821513978761735,0.4630000000000001,0.45918778135220933,18.060226917266846,0.10197019577026367
